"PathwayID","PathwaySize","SignificantGenesInPathway","SignificantGenesTotal","GeneRatio","BackgroundRatio","P.Value","Genes","adj.P.Val","PathwayName"
"hsa05032",77,1,37,0.027027027027027,0.0101502768257316,0.315031506654666,"3760",0.656407273041092,"Morphine addiction"
"hsa05412",80,1,37,0.027027027027027,0.0105457421566043,0.325108415295333,"55799",0.656407273041092,"Arrhythmogenic right ventricular cardiomyopathy"
"hsa04146",81,1,37,0.027027027027027,0.0106775639335618,0.328435219003576,"5827",0.656407273041092,"Peroxisome"
"hsa04662",82,1,37,0.027027027027027,0.0108093857105194,0.331746064692699,"23547",0.656407273041092,"B cell receptor signaling pathway"
"hsa04512",86,1,37,0.027027027027027,0.0113366728183496,0.344831350828783,"131873",0.656407273041092,"ECM-receptor interaction"
"hsa04713",89,1,37,0.027027027027027,0.0117321381492223,0.354481369878568,"3760",0.656407273041092,"Circadian entrainment"
"hsa04061",90,1,37,0.027027027027027,0.0118639599261798,0.357667202786997,"6366",0.656407273041092,"Viral protein interaction with cytokine and cytokine receptor"
"hsa04640",92,1,37,0.027027027027027,0.0121276034800949,0.363993039578091,"913",0.656407273041092,"Hematopoietic cell lineage"
"hsa04974",95,1,37,0.027027027027027,0.0125230688109676,0.373368289072048,"131873",0.656407273041092,"Protein digestion and absorption"
"hsa05146",95,1,37,0.027027027027027,0.0125230688109676,0.373368289072048,"913",0.656407273041092,"Amoebiasis"
"hsa04726",96,1,37,0.027027027027027,0.0126548905879251,0.376463386295961,"3760",0.656407273041092,"Serotonergic synapse"
"hsa04080",271,2,37,0.0540540540540541,0.035723701555497,0.383173510855268,"6013/6019",0.656407273041092,"Neuroactive ligand-receptor interaction"
"hsa04137",102,1,37,0.027027027027027,0.0134458212496704,0.394723989647953,"139341",0.656407273041092,"Mitophagy - animal"
"hsa04064",104,1,37,0.027027027027027,0.0137094648035856,0.400694417698882,"6366",0.656407273041092,"NF-kappa B signaling pathway"
"hsa04724",105,1,37,0.027027027027027,0.0138412865805431,0.403658104753833,"3760",0.656407273041092,"Glutamatergic synapse"
"hsa04725",108,1,37,0.027027027027027,0.0142367519114158,0.412463861580953,"3760",0.656407273041092,"Cholinergic synapse"
"hsa01200",109,1,37,0.027027027027027,0.0143685736883733,0.41537090051135,"8277",0.656407273041092,"Carbon metabolism"
"hsa04517",292,2,37,0.0540540540540541,0.0384919588716056,0.419669302759761,"22829/3897",0.656407273041092,"IgSF CAM signaling"
"hsa05200",489,3,37,0.0810810810810811,0.0644608489322436,0.429922612101554,"8817/5979/7170",0.656407273041092,"Pathways in cancer"
"hsa04915",115,1,37,0.027027027027027,0.0151595043501186,0.432521486245597,"3760",0.656407273041092,"Estrogen signaling pathway"
"hsa04728",123,1,37,0.027027027027027,0.0162140785657791,0.454629203147261,"3760",0.656407273041092,"Dopaminergic synapse"
"hsa04114",128,1,37,0.027027027027027,0.0168731874505668,0.468018542933915,"8243",0.656407273041092,"Oocyte meiosis"
"hsa04380",132,1,37,0.027027027027027,0.017400474558397,0.478499220003225,"23547",0.656407273041092,"Osteoclast differentiation"
"hsa05226",132,1,37,0.027027027027027,0.017400474558397,0.478499220003225,"8817",0.656407273041092,"Gastric cancer"
"hsa04371",133,1,37,0.027027027027027,0.0175322963353546,0.481087834017161,"4635",0.656407273041092,"Apelin signaling pathway"
"hsa04723",133,1,37,0.027027027027027,0.0175322963353546,0.481087834017161,"3760",0.656407273041092,"Retrograde endocannabinoid signaling"
"hsa05224",135,1,37,0.027027027027027,0.0177959398892697,0.486227609660069,"8817",0.656407273041092,"Breast cancer"
"hsa04120",140,1,37,0.027027027027027,0.0184550487740575,0.498861298398084,"7317",0.662422379840079,"Ubiquitin mediated proteolysis"
"hsa05161",147,1,37,0.027027027027027,0.0193778012127603,0.516041899604717,"1654",0.672722121128954,"Hepatitis B"
"hsa04518",150,1,37,0.027027027027027,0.019773266543633,0.523228316433631,"131873",0.672722121128954,"Integrin signaling"
"hsa04110",158,1,37,0.027027027027027,0.0208278407592934,0.541888240100646,"8243",0.674669945215204,"Cell cycle"
"hsa04530",160,1,37,0.027027027027027,0.0210914843132085,0.546441028184921,"913",0.674669945215204,"Tight junction"
"hsa04310",168,1,37,0.027027027027027,0.022146058528869,0.564215950605967,"90665",0.674669945215204,"Wnt signaling pathway"
"hsa04141",169,1,37,0.027027027027027,0.0222778803058265,0.566389583637455,"79748",0.674669945215204,"Protein processing in endoplasmic reticulum"
"hsa05207",169,1,37,0.027027027027027,0.0222778803058265,0.566389583637455,"8817",0.674669945215204,"Chemical carcinogenesis - receptor activation"
"hsa04360",176,1,37,0.027027027027027,0.0232006327445294,0.581312381846869,"3897",0.679641363593087,"Axon guidance"
"hsa05203",182,1,37,0.027027027027027,0.0239915634062747,0.593704643126703,"1654",0.679641363593087,"Viral carcinogenesis"
"hsa04062",183,1,37,0.027027027027027,0.0241233851832323,0.595735022408755,"6366",0.679641363593087,"Chemokine signaling pathway"
"hsa04015",198,1,37,0.027027027027027,0.0261007118375956,0.625031647685135,"8817",0.697685477569994,"Rap1 signaling pathway"
"hsa04510",200,1,37,0.027027027027027,0.0263643553915107,0.62877826990876,"131873",0.697685477569994,"Focal adhesion"
"hsa04014",216,1,37,0.027027027027027,0.0284735038228315,0.657468180939673,"8817",0.719661116974507,"Ras signaling pathway"
"hsa04060",247,1,37,0.027027027027027,0.0325599789085157,0.707044004354462,"6366",0.755134180233036,"Cytokine-cytokine receptor interaction"
"hsa04144",248,1,37,0.027027027027027,0.0326918006854732,0.708520959230996,"6456",0.755134180233036,"Endocytosis"
"hsa05012",261,1,37,0.027027027027027,0.0344054837859214,0.727074419083404,"7317",0.764844518776049,"Parkinson disease"
"hsa05165",304,1,37,0.027027027027027,0.0400738201950962,0.78061699452695,"131873",0.810640725085679,"Human papillomavirus infection"
"hsa04519",347,1,37,0.027027027027027,0.045742156604271,0.823884076126337,"83259",0.844741900838396,"Cadherin signaling"
"hsa05022",460,1,37,0.027027027027027,0.0606380174004746,0.901745872030626,"7317",0.913017695431009,"Pathways of neurodegeneration - multiple diseases"
"hsa01100",1466,4,37,0.108108108108108,0.193250725019773,0.94554816147296,"8228/412/8277/339896",0.94554816147296,"Metabolic pathways"
