"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"9315",0.125604192076817,3.09004164446284,3.36685286846999,0.000945983966630147,0.121801318688499,-1.4630712804436
"105370897",-0.151915704294967,0.249942477065412,-3.3622654893069,0.000960806186750505,0.122831916908117,-1.47745540034338
"2882",0.106066849591685,2.32693193547262,3.36144481243542,0.00096348064653585,0.122831916908117,-1.4800269027256
"107984225",0.158224801134346,0.363470242267508,3.35659411632567,0.000979430939230372,0.123604854577466,-1.49521487253625
"107986462",-0.223781715184102,1.21717385801151,-3.3564850831819,0.000979792286513455,0.123604854577466,-1.49555604572416
"292",0.0894395468920822,3.58298841128559,3.35327931279552,0.000990472384754626,0.123604854577466,-1.5055828362666
"56265",0.281176801423635,1.66080756646216,3.35325102714404,0.00099056710129591,0.123604854577466,-1.50567126905838
"105376476",-0.128445373863621,0.188766030604153,-3.35096243408958,0.000998258721960029,0.123604854577466,-1.51282421580546
"10446",0.12941751633304,1.78019207112196,3.35042248254635,0.00100008153547192,0.123604854577466,-1.51451120199052
"5127",0.0827701425241686,3.43303814560949,3.34885637558864,0.00100538613355897,0.123604854577466,-1.51940289515827
"246777",-0.178595052844563,1.7345218028703,-3.34816034578051,0.00100775209875754,0.123604854577466,-1.52157628589513
"105369874",0.329857211416521,1.51189705862758,3.34640180147239,0.00101375298442866,0.123731374244461,-1.52706568153811
"2274",0.132785474799473,4.55038598948623,3.34506251887247,0.00101834554536593,0.123731374244461,-1.53124464176113
"27115",0.116036733538957,2.65487269352691,3.33569081848057,0.00105103003753368,0.127105875567157,-1.56044631684155
"1840",0.188831614221115,1.61480235286598,3.33326615824869,0.001059644294315,0.127551601566847,-1.56798978057214
"148808",0.139042327897709,1.73355516094386,3.32136465802929,0.00110289159309221,0.132142751987159,-1.60494760869162
"84529",0.121819407109615,3.71057515606038,3.31317097112657,0.00113361683046426,0.13519817314477,-1.63032441847685
"153",0.134199071609695,2.64915326478164,3.30890270546821,0.00114993679136714,0.136266301987033,-1.64352203573828
"131377",0.158741036011477,1.48429510405875,3.3073631360024,0.00115587700771618,0.136266301987033,-1.6482787847015
"6575",0.0828680158115063,3.40991755884612,3.30671949687405,0.00115836887315098,0.136266301987033,-1.65026683812798
"51375",0.0987146476971788,2.78985103158603,3.30465691037469,0.00116638802182745,0.136588787352463,-1.65663541438568
"4880",0.224645746444474,0.862307535288327,3.29576728840752,0.00120154602785862,0.140072122526942,-1.68404380795886
"9362",0.191922317596017,0.663217404888108,3.29321101319953,0.00121183737879835,0.140638346920634,-1.69191332858481
"170690",0.256496097417588,0.803700441572415,3.29053190540593,0.00122271137996606,0.140936661256739,-1.70015525328777
