"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"57130",-0.0677334806850556,2.57568564495469,-1.65785424214262,0.0992490121044646,0.505721506736357,-5.76913218288129,1.00327380738313,1.00327380738313,"Not Significant","grey80"
"84299",-0.063686134163976,3.04240259414401,-1.65771751908816,0.0992766609611909,0.505721506736357,-5.76935504755015,1.00315283818253,1.00315283818253,"Not Significant","grey80"
"339456",-0.100740746860248,1.06211172815282,-1.65758941005686,0.099302573472819,0.505721506736357,-5.76956385484835,1.00303949641336,1.00303949641336,"Not Significant","grey80"
"55765",-0.068625032152655,0.482060623023853,-1.65758468634864,0.0993035290376111,0.505721506736357,-5.76957155381011,1.00303531732207,1.00303531732207,"Not Significant","grey80"
"5144",0.0596959420402563,3.18818794811195,1.65741360773473,0.0993381417327313,0.505721506736357,-5.76985037292997,1.00288396838719,1.00288396838719,"Not Significant","grey80"
"27321",0.0906489153867519,0.398785714192582,1.65728717750439,0.0993637273901974,0.505721506736357,-5.77005640748602,1.00277212535357,1.00277212535357,"Not Significant","grey80"
"7066",-0.0576399842154546,1.23264362580184,-1.65728057717956,0.0993650632421743,0.505721506736357,-5.77006716315906,1.00276628671146,1.00276628671146,"Not Significant","grey80"
"55527",-0.0428248820028499,3.43241366066596,-1.65725480731585,0.0993702789911013,0.505721506736357,-5.77010915648785,1.0027434908569,1.0027434908569,"Not Significant","grey80"
"23376",0.0568461630961223,3.18263473843666,1.65720200829433,0.0993809660550876,0.505721506736357,-5.77019519325826,1.00269678591254,1.00269678591254,"Not Significant","grey80"
"105372282",-0.102621593377635,1.7191686871484,-1.65717906716653,0.0993856098632578,0.505721506736357,-5.77023257533226,1.00267649296082,1.00267649296082,"Not Significant","grey80"
"401561",-0.0884182013316058,0.626444655905235,-1.6570070605341,0.0994204334997567,0.505780337409577,-5.77051284049572,1.00252434755246,1.00252434755246,"Not Significant","grey80"
"1616",-0.040906771552302,2.82826393826972,-1.65688243546759,0.0994456706289789,0.505780337409577,-5.77071588523334,1.00241411915465,1.00241411915465,"Not Significant","grey80"
"246243",-0.0359997530723946,3.26252558362762,-1.65667875969854,0.0994869269787965,0.505780337409577,-5.77104769112396,1.0022339837164,1.0022339837164,"Not Significant","grey80"
"4597",-0.102075363603574,2.33489982950974,-1.65664455834691,0.0994938561196588,0.505780337409577,-5.7711034042909,1.00220373669862,1.00220373669862,"Not Significant","grey80"
"5714",-0.0483051444019723,3.93992896261203,-1.65663946598511,0.0994948878575022,0.505780337409577,-5.77111169952882,1.00219923314688,1.00219923314688,"Not Significant","grey80"
"89891",-0.0968918866882219,2.77582497853277,-1.65632734413214,0.0995581417430192,0.505877059948422,-5.77162008550429,1.0019232181129,1.0019232181129,"Not Significant","grey80"
"105371058",-0.0523555045171023,1.94928883616922,-1.65627240981797,0.0995692779523234,0.505877059948422,-5.77170955326302,1.0018746422386,1.0018746422386,"Not Significant","grey80"
"105378485",0.0580966499016299,0.109268092489437,1.65610374512651,0.0996034756946382,0.505877059948422,-5.77198422797487,1.00172550646922,1.00172550646922,"Not Significant","grey80"
"10188",-0.0904000559497911,2.57662096167996,-1.6560230632067,0.0996198377636593,0.505877059948422,-5.77211561095491,1.00165416987532,1.00165416987532,"Not Significant","grey80"
"105376944",-0.0809139431368698,0.2716741935849,-1.6559982806279,0.0996248640360797,0.505877059948422,-5.77215596582996,1.00163225830269,1.00163225830269,"Not Significant","grey80"
"26102",-0.0767897813449033,0.288713219064733,-1.65583553104683,0.0996578771234234,0.505877059948422,-5.77242096566864,1.00148836825268,1.00148836825268,"Not Significant","grey80"
"112476",-0.0741132354990508,1.67626604935807,-1.65562064146233,0.0997014800861654,0.505877059948422,-5.77277082479166,1.00129839446183,1.00129839446183,"Not Significant","grey80"
"11039",0.0739741481320536,1.86178655934476,1.65561404903481,0.0997028179896862,0.505877059948422,-5.77278155714863,1.00129256666251,1.00129256666251,"Not Significant","grey80"
