"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"55324",0.0407432935702316,3.16574868573111,1.66703910640737,0.0974030033611625,0.391933200219984,-5.55085723703552,1.01142765171409,1.01142765171409,"Not Significant","grey80"
"10101",0.109311350358331,2.45237661415335,1.66701108742241,0.097408584033403,0.391933200219984,-5.55090300442167,1.01140276967096,1.01140276967096,"Not Significant","grey80"
"55323",0.0477365269276783,3.02677864883379,1.66693890169503,0.0974229627903848,0.391933200219984,-5.55102091219346,1.0113386669635,1.0113386669635,"Not Significant","grey80"
"89941",0.0835529306352777,3.09926028715644,1.66655976116357,0.0974985123355667,0.392084210139867,-5.55164011722889,1.01100201085924,1.01100201085924,"Not Significant","grey80"
"51025",0.0895670755516456,2.23177981312116,1.66655340304631,0.0974997796903438,0.392084210139867,-5.55165050002322,1.0109963656284,1.0109963656284,"Not Significant","grey80"
"83540",0.0945866395601195,1.06232179536231,1.66652245038598,0.0975059496313827,0.392084210139867,-5.55170104511622,1.0109688836528,1.0109688836528,"Not Significant","grey80"
"100131211",0.061252405574314,2.04921143690748,1.6661478330375,0.0975806488619812,0.392243956360507,-5.55231271601836,1.01063629837541,1.01063629837541,"Not Significant","grey80"
"136259",0.0990753062512362,0.556729184118425,1.66612434099508,0.0975853347459852,0.392243956360507,-5.55235106912631,1.01061544378253,1.01061544378253,"Not Significant","grey80"
"1770",0.105047983104978,0.518442894632777,1.66609521287389,0.0975911450929406,0.392243956360507,-5.55239862297045,1.01058958614207,1.01058958614207,"Not Significant","grey80"
"2170",0.058168386516188,4.90582680957463,1.6656730115179,0.0976753952601572,0.392484700685904,-5.55308780813282,1.01021482265288,1.01021482265288,"Not Significant","grey80"
"79683",0.0511739654463954,2.71293096063778,1.66564306191469,0.0976813739226393,0.392484700685904,-5.55313669029353,1.01018824051665,1.01018824051665,"Not Significant","grey80"
"84975",0.0568103324760405,2.71260825206807,1.66543213529513,0.0977234883166933,0.392547485447674,-5.55348092952098,1.01000103893917,1.01000103893917,"Not Significant","grey80"
"54539",0.0779794974892203,3.54885319321464,1.66534992678159,0.0977399063393431,0.392547485447674,-5.55361508512454,1.00992808147652,1.00992808147652,"Not Significant","grey80"
"474384",0.0740821678518304,1.60600284037765,1.66533692217664,0.0977425037181149,0.392547485447674,-5.55363630667864,1.00991654051723,1.00991654051723,"Not Significant","grey80"
"283987",0.0577063068330581,2.58530419686444,1.66499603358312,0.097810608438431,0.392760053745011,-5.55419252832129,1.00961403952306,1.00961403952306,"Not Significant","grey80"
"51696",0.0485132323163537,3.29048485026132,1.66474571861265,0.0978606421892596,0.392900003080676,-5.55460089256329,1.0093919386033,1.0093919386033,"Not Significant","grey80"
"85014",0.066448590324809,2.97254778427204,1.66445257138056,0.0979192636208447,0.393074382271981,-5.55507905797191,1.00913186119735,1.00913186119735,"Not Significant","grey80"
"5691",0.068417561477375,3.37301437228771,1.6642774168604,0.0979543032455655,0.393154058311916,-5.55536472140363,1.00897648019245,1.00897648019245,"Not Significant","grey80"
"3190",0.046091366526363,4.00446085347146,1.664059853188,0.0979978408877967,0.3932544908385,-5.55571951040484,1.00878349268348,1.00878349268348,"Not Significant","grey80"
"474383",0.069244112559388,1.67434260656568,1.6639924524923,0.0980113319079387,0.3932544908385,-5.55582941407617,1.00872370899551,1.00872370899551,"Not Significant","grey80"
"6919",0.0752381981580307,2.79065215146995,1.66392461476627,0.0980249119165055,0.3932544908385,-5.55594002602459,1.00866353927711,1.00866353927711,"Not Significant","grey80"
"4946",0.071784419549944,4.01697106198538,1.66375286586009,0.0980593000335273,0.393298125129988,-5.55622004954735,1.00851121115777,1.00851121115777,"Not Significant","grey80"
"28802",0.0723933494391662,0.137295418653671,1.66371849803755,0.098066182436778,0.393298125129988,-5.55627608031171,1.00848073077636,1.00848073077636,"Not Significant","grey80"
"54940",0.0420533152324894,3.6431960523976,1.663496897546,0.0981105688770124,0.393408546801164,-5.55663733455104,1.00828420609885,1.00828420609885,"Not Significant","grey80"
"116535",0.0999070320758216,1.96776850720646,1.66327887094322,0.0981542552728162,0.393408546801164,-5.55699271721955,1.00809086772527,1.00809086772527,"Not Significant","grey80"
"51063",0.0626888508009018,2.41804715346767,1.66327853793657,0.0981543220099677,0.393408546801164,-5.55699325998486,1.00809057243938,1.00809057243938,"Not Significant","grey80"
"1393",0.073023997084219,2.03343553493545,1.66309201783275,0.0981917078540057,0.393408546801164,-5.55729725136144,1.00792518619781,1.00792518619781,"Not Significant","grey80"
"55602",0.0627583116044033,2.68339138222156,1.66299021600021,0.0982121177205733,0.393408546801164,-5.55746315458281,1.00783492428532,1.00783492428532,"Not Significant","grey80"
"127396",0.0506172974108222,2.40086459120863,1.66287654700876,0.0982349108295604,0.393408546801164,-5.55764838573605,1.00773414473598,1.00773414473598,"Not Significant","grey80"
"81550",0.0446344843310402,2.9492136775045,1.66285148769377,0.0982399363416516,0.393408546801164,-5.55768921990355,1.00771192762064,1.00771192762064,"Not Significant","grey80"
"51374",0.0444962742069815,3.52882250514423,1.66284756419184,0.0982407231978183,0.393408546801164,-5.55769561319824,1.00770844913791,1.00770844913791,"Not Significant","grey80"
"100506674",0.0657668777907653,1.98923477659316,1.66284332531109,0.0982415733087427,0.393408546801164,-5.55770252038214,1.00770469105395,1.00770469105395,"Not Significant","grey80"
"60490",0.0593151904782144,2.22507392137845,1.66282260984634,0.0982457278970605,0.393408546801164,-5.55773627563402,1.00768632534003,1.00768632534003,"Not Significant","grey80"
"28434",0.163240679525347,1.02434422023378,1.6627078036103,0.0982687554193816,0.393416236419856,-5.55792334171199,1.00758454428295,1.00758454428295,"Not Significant","grey80"
"3300",0.0566949269771344,3.34265866557977,1.6626614639659,0.0982780513313126,0.393416236419856,-5.55799884431315,1.00754346334833,1.00754346334833,"Not Significant","grey80"
"219793",0.0738872869845073,0.143707968266924,1.662511653796,0.0983081086802941,0.393423970111304,-5.55824292068993,1.00741065907661,1.00741065907661,"Not Significant","grey80"
"57862",0.0420240011946028,2.91117877777041,1.66235473569505,0.0983396000817766,0.393423970111304,-5.55849855477739,1.00727156219016,1.00727156219016,"Not Significant","grey80"
"9929",0.0425557019102727,3.19936645712894,1.66231890601316,0.0983467917682236,0.393423970111304,-5.55855692136896,1.0072398029036,1.0072398029036,"Not Significant","grey80"
"64122",0.0678223272637194,2.94812082857929,1.66212640308256,0.0983854379588054,0.393423970111304,-5.55887048803604,1.00706917679363,1.00706917679363,"Not Significant","grey80"
"105375647",0.0764721360767878,0.82387502196216,1.66209223842532,0.098392298010139,0.393423970111304,-5.55892613493725,1.00703889610739,1.00703889610739,"Not Significant","grey80"
"23030",0.0543493544847615,2.64227542235821,1.66198917302978,0.0984129952379716,0.393423970111304,-5.55909399966798,1.00694755006965,1.00694755006965,"Not Significant","grey80"
"284415",0.0970098534313031,0.423997043866277,1.66195760087891,0.0984193361474834,0.393423970111304,-5.55914541986629,1.00691956867053,1.00691956867053,"Not Significant","grey80"
"100533111",0.0644084493434074,0.343692963830144,1.66187872194456,0.0984351795283617,0.393423970111304,-5.55927388245239,1.00684966229443,1.00684966229443,"Not Significant","grey80"
"338707",0.0986153579775464,1.00920944689543,1.66186868264663,0.0984371961383882,0.393423970111304,-5.55929023207514,1.00684076513348,1.00684076513348,"Not Significant","grey80"
"105371619",-0.0861093664350435,0.420119146541104,-1.66180477068813,0.0984500350175777,0.393423970111304,-5.55939431444646,1.00678412505214,1.00678412505214,"Not Significant","grey80"
